match_id,date,home_team,away_team
20260828_CrystalPalace_ManchesterCity,2026-08-28,Crystal Palace,Manchester City
20260829_Liverpool_NottinghamForest,2026-08-29,Liverpool,Nottingham Forest
20260829_Bournemouth_Everton,2026-08-29,Bournemouth,Everton
20260829_Coventry_Hull,2026-08-29,Coventry,Hull
20260829_Tottenham_Newcastle,2026-08-29,Tottenham,Newcastle
20260830_Chelsea_Brighton,2026-08-30,Chelsea,Brighton
20260830_Leeds_Brentford,2026-08-30,Leeds,Brentford
20260830_Sunderland_Fulham,2026-08-30,Sunderland,Fulham
20260830_ManchesterUnited_Ipswich,2026-08-30,Manchester United,Ipswich
20260831_AstonVilla_Arsenal,2026-08-31,Aston Villa,Arsenal
20260904_Ipswich_Liverpool,2026-09-04,Ipswich,Liverpool
20260905_Newcastle_Bournemouth,2026-09-05,Newcastle,Bournemouth
20260905_Brentford_Sunderland,2026-09-05,Brentford,Sunderland
20260905_Brighton_Leeds,2026-09-05,Brighton,Leeds
20260905_Fulham_CrystalPalace,2026-09-05,Fulham,Crystal Palace
20260905_ManchesterCity_Coventry,2026-09-05,Manchester City,Coventry
20260905_NottinghamForest_Tottenham,2026-09-05,Nottingham Forest,Tottenham
20260905_Hull_AstonVilla,2026-09-05,Hull,Aston Villa
20260906_Everton_ManchesterUnited,2026-09-06,Everton,Manchester United
20260906_Arsenal_Chelsea,2026-09-06,Arsenal,Chelsea
20260912_AstonVilla_NottinghamForest,2026-09-12,Aston Villa,Nottingham Forest
20260912_Bournemouth_Brentford,2026-09-12,Bournemouth,Brentford
20260912_Chelsea_Hull,2026-09-12,Chelsea,Hull
20260912_CrystalPalace_Ipswich,2026-09-12,Crystal Palace,Ipswich
20260912_Liverpool_Fulham,2026-09-12,Liverpool,Fulham
20260912_Tottenham_Everton,2026-09-12,Tottenham,Everton
20260912_Sunderland_Arsenal,2026-09-12,Sunderland,Arsenal
20260913_Coventry_Brighton,2026-09-13,Coventry,Brighton
20260913_ManchesterUnited_ManchesterCity,2026-09-13,Manchester United,Manchester City
20260914_Leeds_Newcastle,2026-09-14,Leeds,Newcastle
