match_id,date,home_team,away_team
20260828_Wrexham_Birmingham,2026-08-28,Wrexham,Birmingham
20260829_Derby_Swansea,2026-08-29,Derby,Swansea
20260829_Middlesbrough_WestBrom,2026-08-29,Middlesbrough,West Brom
20260829_Wolves_Stoke,2026-08-29,Wolves,Stoke
20260829_Blackburn_QPR,2026-08-29,Blackburn,QPR
20260829_Bolton_Lincoln,2026-08-29,Bolton,Lincoln
20260829_BristolCity_Portsmouth,2026-08-29,Bristol City,Portsmouth
20260829_Cardiff_SheffieldUnited,2026-08-29,Cardiff,Sheffield United
20260829_Charlton_Preston,2026-08-29,Charlton,Preston
20260829_Norwich_Burnley,2026-08-29,Norwich,Burnley
20260829_Southampton_Millwall,2026-08-29,Southampton,Millwall
20260829_Watford_WestHam,2026-08-29,Watford,West Ham
