match_id,date,home_team,away_team
20260829_Levante_RealBetis,2026-08-29,Levante,Real Betis
20260829_RealSociedad_Espanyol,2026-08-29,Real Sociedad,Espanyol
20260829_Sevilla_AtleticoMadrid,2026-08-29,Sevilla,Atletico Madrid
20260830_RealMadrid_Malaga,2026-08-30,Real Madrid,Malaga
20260830_DeportivoLaCoruna_Valencia,2026-08-30,Deportivo La Coruna,Valencia
20260830_CeltaVigo_AthleticClub,2026-08-30,Celta Vigo,Athletic Club
20260831_Osasuna_Getafe,2026-08-31,Osasuna,Getafe
20260831_Barcelona_RayoVallecano,2026-08-31,Barcelona,Rayo Vallecano
20260903_RealSociedad_CeltaVigo,2026-09-03,Real Sociedad,Celta Vigo
20260904_RealBetis_RealMadrid,2026-09-04,Real Betis,Real Madrid
20260905_AthleticClub_AtleticoMadrid,2026-09-05,Athletic Club,Atletico Madrid
20260905_RayoVallecano_RacingSantander,2026-09-05,Rayo Vallecano,Racing Santander
20260905_Villarreal_DeportivoLaCoruna,2026-09-05,Villarreal,Deportivo La Coruna
20260906_Valencia_Barcelona,2026-09-06,Valencia,Barcelona
20260906_Alaves_Osasuna,2026-09-06,Alaves,Osasuna
20260906_Malaga_Levante,2026-09-06,Malaga,Levante
20260906_Espanyol_Sevilla,2026-09-06,Espanyol,Sevilla
20260907_Getafe_CeltaVigo,2026-09-07,Getafe,Celta Vigo
20260907_Elche_RealSociedad,2026-09-07,Elche,Real Sociedad
20260913_AthleticClub_Elche,2026-09-13,Athletic Club,Elche
20260913_CeltaVigo_Malaga,2026-09-13,Celta Vigo,Malaga
20260913_Getafe_DeportivoLaCoruna,2026-09-13,Getafe,Deportivo La Coruna
20260913_Levante_Barcelona,2026-09-13,Levante,Barcelona
20260913_Osasuna_Espanyol,2026-09-13,Osasuna,Espanyol
20260913_RacingSantander_Alaves,2026-09-13,Racing Santander,Alaves
20260913_RealMadrid_RayoVallecano,2026-09-13,Real Madrid,Rayo Vallecano
20260913_RealSociedad_AtleticoMadrid,2026-09-13,Real Sociedad,Atletico Madrid
20260913_Sevilla_Valencia,2026-09-13,Sevilla,Valencia
20260913_Villarreal_RealBetis,2026-09-13,Villarreal,Real Betis
20260916_Alaves_Valencia,2026-09-16,Alaves,Valencia
20260916_AtleticoMadrid_Osasuna,2026-09-16,Atletico Madrid,Osasuna
20260916_Barcelona_RacingSantander,2026-09-16,Barcelona,Racing Santander
20260916_DeportivoLaCoruna_Sevilla,2026-09-16,Deportivo La Coruna,Sevilla
20260916_Elche_RealMadrid,2026-09-16,Elche,Real Madrid
20260916_Levante_AthleticClub,2026-09-16,Levante,Athletic Club
20260916_Malaga_Villarreal,2026-09-16,Malaga,Villarreal
20260916_RayoVallecano_Espanyol,2026-09-16,Rayo Vallecano,Espanyol
20260916_RealBetis_Getafe,2026-09-16,Real Betis,Getafe
