match_id,date,home_team,away_team
20260828_Lille_ParisSaint-Germain,2026-08-28,Lille,Paris Saint-Germain
20260829_Strasbourg_Lens,2026-08-29,Strasbourg,Lens
20260829_Auxerre_Angers,2026-08-29,Auxerre,Angers
20260829_Brest_Toulouse,2026-08-29,Brest,Toulouse
20260829_Lorient_Troyes,2026-08-29,Lorient,Troyes
20260829_Lyon_LeHavre,2026-08-29,Lyon,Le Havre
20260830_ParisFC_Nice,2026-08-30,Paris FC,Nice
20260830_Rennes_LeMans,2026-08-30,Rennes,Le Mans
20260830_Monaco_Marseille,2026-08-30,Monaco,Marseille
20260903_Toulouse_Lille,2026-09-03,Toulouse,Lille
20260904_Lyon_Auxerre,2026-09-04,Lyon,Auxerre
20260904_ParisSaint-Germain_Monaco,2026-09-04,Paris Saint-Germain,Monaco
20260905_Lens_Lorient,2026-09-05,Lens,Lorient
20260905_LeHavre_Brest,2026-09-05,Le Havre,Brest
20260905_Nice_LeMans,2026-09-05,Nice,Le Mans
20260906_Troyes_Strasbourg,2026-09-06,Troyes,Strasbourg
20260906_Angers_Rennes,2026-09-06,Angers,Rennes
20260906_Marseille_ParisFC,2026-09-06,Marseille,Paris FC
20260911_Rennes_Marseille,2026-09-11,Rennes,Marseille
20260912_Strasbourg_Monaco,2026-09-12,Strasbourg,Monaco
20260912_Auxerre_Nice,2026-09-12,Auxerre,Nice
20260912_LeHavre_Angers,2026-09-12,Le Havre,Angers
20260912_Lorient_Toulouse,2026-09-12,Lorient,Toulouse
20260912_ParisFC_Lyon,2026-09-12,Paris FC,Lyon
20260913_Lille_Troyes,2026-09-13,Lille,Troyes
20260913_LeMans_Lens,2026-09-13,Le Mans,Lens
20260913_Brest_ParisSaint-Germain,2026-09-13,Brest,Paris Saint-Germain
