play_id,recorded_at,system_id,system,league,match_id,date,home_team,away_team,market,side,ah_line,pin_odds,edge_vs_pin,edge_thr,fair_odds,book_odds,recommendation,stake_u,status,actual_home,actual_away,actual_total,won,profit_u,settled_at,settle_note
Primeira_ah_e12|20260814_SportingCP_VitoriaGuimaraes|ah_away|AH,2026-08-17T17:07:16.872927+00:00,Primeira_ah_e12,Primeira Liga AH e12%,PrimeiraLiga,20260814_SportingCP_VitoriaGuimaraes,2026-08-14,Sporting CP,Vitoria Guimaraes,AH,ah_away,-1.5,1.8772,0.29415,0.12,1.2278,,PLAY,1.0,settled,3.0,2.0,5.0,1.0,0.8772,2026-08-17T17:07:54.752369+00:00,win
EPL_unders|20260822_Hull_ManchesterUnited|under|OU Under,2026-08-17T17:27:41.393634+00:00,EPL_unders,EPL Unders,EPL,20260822_Hull_ManchesterUnited,2026-08-22,Hull,Manchester United,OU Under,under,1.25,2.21,0.1064608263138499,0.08,1.8521236304223283,,PLAY,1.0,settled,2.0,0.0,2.0,1.0,1.21,2026-08-24T15:17:57.667480+00:00,win
EPL_overs_short|20260822_Brentford_Tottenham|over|OU Over,2026-08-17T17:27:41.393728+00:00,EPL_overs_short,EPL short Overs,EPL,20260822_Brentford_Tottenham,2026-08-22,Brentford,Tottenham,OU Over,over,0.0,1.6993,0.1220161350179021,0.1,1.4404562296796517,,PLAY,1.0,settled,3.0,0.0,3.0,1.0,0.6993,2026-08-24T15:17:57.668629+00:00,win
EPL_overs_short|20260822_Everton_CrystalPalace|over|OU Over,2026-08-17T17:27:41.393796+00:00,EPL_overs_short,EPL short Overs,EPL,20260822_Everton_CrystalPalace,2026-08-22,Everton,Crystal Palace,OU Over,over,-0.5,1.9524,0.1169852001181115,0.1,1.627083265649194,,PLAY,1.0,settled,2.0,0.0,2.0,0.0,-1.0,2026-08-24T15:17:57.669447+00:00,lose
EPL_overs_short|20260822_NottinghamForest_Leeds|over|OU Over,2026-08-17T17:27:41.393857+00:00,EPL_overs_short,EPL short Overs,EPL,20260822_NottinghamForest_Leeds,2026-08-22,Nottingham Forest,Leeds,OU Over,over,-0.25,1.9615,0.1491223981175247,0.1,1.5519608062488368,,PLAY,1.0,settled,0.0,1.0,1.0,0.0,-1.0,2026-08-24T15:17:57.670193+00:00,lose
EPL_unders|20260829_Coventry_Hull|under|OU Under,2026-08-24T15:48:36.120203+00:00,EPL_unders,EPL Unders,EPL,20260829_Coventry_Hull,2026-08-29,Coventry,Hull,OU Under,under,-0.5,2.03,0.2007278343244459,0.08,1.474470678538052,,PLAY,1.0,open,,,,,,,
EPL_unders|20260905_ManchesterCity_Coventry|under|OU Under,2026-08-24T15:48:36.120275+00:00,EPL_unders,EPL Unders,EPL,20260905_ManchesterCity_Coventry,2026-09-05,Manchester City,Coventry,OU Under,under,-1.75,3.24,0.2199194748227435,0.08,2.050589830704132,,PLAY,1.0,open,,,,,,,
EPL_overs_short|20260824_Fulham_Chelsea|over|OU Over,2026-08-24T15:48:36.120344+00:00,EPL_overs_short,EPL short Overs,EPL,20260824_Fulham_Chelsea,2026-08-24,Fulham,Chelsea,OU Over,over,0.25,1.8547,0.1221775710378008,0.1,1.5372636747007562,,PLAY,1.0,open,,,,,,,
EPL_overs_short|20260830_Leeds_Brentford|over|OU Over,2026-08-24T15:48:36.120389+00:00,EPL_overs_short,EPL short Overs,EPL,20260830_Leeds_Brentford,2026-08-30,Leeds,Brentford,OU Over,over,0.0,1.9259,0.1180889361020984,0.1,1.6054839087119603,,PLAY,1.0,open,,,,,,,
EPL_overs_short|20260830_ManchesterUnited_Ipswich|over|OU Over,2026-08-24T15:48:36.120432+00:00,EPL_overs_short,EPL short Overs,EPL,20260830_ManchesterUnited_Ipswich,2026-08-30,Manchester United,Ipswich,OU Over,over,-1.0,1.6494,0.1190651764282276,0.1,1.4102013641108595,,PLAY,1.0,open,,,,,,,
SerieA_away_ml|20260830_Cagliari_Inter|A|1X2 Away,2026-08-24T15:48:36.120473+00:00,SerieA_away_ml,Serie A Away ML,SerieA,20260830_Cagliari_Inter,2026-08-30,Cagliari,Inter,1X2 Away,A,1.25,1.4545,0.0987744841676645,0.03,1.2717857386443576,,PLAY,1.0,open,,,,,,,
SerieA_away_ml|20260831_Lecce_Roma|A|1X2 Away,2026-08-24T15:48:36.120513+00:00,SerieA_away_ml,Serie A Away ML,SerieA,20260831_Lecce_Roma,2026-08-31,Lecce,Roma,1X2 Away,A,0.75,1.6452,0.0802407066611486,0.03,1.4533414704050376,,PLAY,1.0,open,,,,,,,
