match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260904_VfBStuttgart_FCCologne,1.3861,3.06,1.3861,3.06,-259.0,206.0,1.5208,5.03,5.5,-192.0,403.0,450.0,-1.25,2.07,1.8403,107.0,-119.0,2.5,2.25,1.6711,125.0,-149.0,1.5,2.84,1.4464,184.0,-224.0,1634644449.0
20260905_BayerLeverkusen_UnionBerlin,1.4274,2.88,1.4274,2.88,-234.0,188.0,1.463,5.11,6.28,-216.0,411.0,528.0,-1.5,2.14,1.7692,114.0,-130.0,2.5,2.2,1.6993,120.0,-143.0,0.5,1.4651,2.77,-215.0,177.0,1634648946.0
20260905_BorussiaM.Gladbach_Elversberg,1.6173,2.4,1.6173,2.4,-162.0,140.0,1.8547,4.0,4.05,-117.0,300.0,305.0,-0.5,1.8621,2.05,-116.0,105.0,1.5,1.6993,2.2,-143.0,120.0,1.5,2.77,1.4651,177.0,-215.0,1634649274.0
20260905_Hoffenheim_BorussiaDortmund,1.4762,2.7,1.4762,2.7,-210.0,170.0,3.02,3.88,2.25,202.0,288.0,125.0,0.0,2.28,1.6897,128.0,-145.0,1.5,2.09,1.7752,109.0,-129.0,1.5,1.7692,2.09,-130.0,109.0,1634644451.0
20260905_Paderborn_Freiburg,1.6849,2.27,1.6849,2.27,-146.0,127.0,3.44,3.84,2.07,244.0,284.0,107.0,0.5,1.8403,2.08,-119.0,108.0,1.5,2.61,1.5128,161.0,-195.0,2.5,3.73,1.277,273.0,-361.0,1634649275.0
20260905_WerderBremen_RBLeipzig,1.4975,2.68,1.4975,2.68,-201.0,168.0,3.97,4.33,1.8065,297.0,333.0,-124.0,0.75,1.8772,2.04,-114.0,104.0,1.5,2.55,1.5376,155.0,-186.0,1.5,1.6061,2.38,-165.0,138.0,1634648947.0
20260905_Schalke04_BayernMunich,,,,,,,14.71,8.67,1.1653,1371.0,767.0,-605.0,2.25,2.04,1.8621,104.0,-116.0,0.5,1.7042,2.17,-142.0,117.0,3.5,2.3,1.6289,130.0,-159.0,1634644450.0
20260906_HamburgerSV_Mainz05,1.7752,2.12,1.7752,2.12,-129.0,112.0,3.04,3.62,2.33,204.0,262.0,133.0,0.25,1.8772,2.03,-114.0,103.0,1.5,2.53,1.5405,153.0,-185.0,1.5,2.12,1.7519,112.0,-133.0,1634655575.0
20260906_EintrachtFrankfurt_Augsburg,1.4785,2.69,1.4785,2.69,-209.0,169.0,1.9709,4.08,3.54,-103.0,308.0,254.0,-0.25,1.7353,2.19,-136.0,119.0,1.5,1.6579,2.27,-152.0,127.0,1.5,2.31,1.6369,131.0,-157.0,1634659843.0
20260911_UnionBerlin_Schalke04,1.5747,2.41,1.5747,2.41,-174.0,141.0,2.11,3.73,3.23,111.0,273.0,223.0,-0.25,1.8547,2.0,-117.0,100.0,2.5,3.51,1.2825,251.0,-354.0,1.5,2.33,1.5952,133.0,-168.0,1635197877.0
20260912_Augsburg_BayerLeverkusen,1.4348,2.8,1.4348,2.8,-230.0,180.0,4.54,4.3,1.6623,354.0,330.0,-151.0,0.75,2.04,1.8197,104.0,-122.0,1.5,2.64,1.4739,164.0,-211.0,2.5,2.48,1.5291,148.0,-189.0,1635193856.0
20260912_BorussiaDortmund_Paderborn,1.339,3.2,1.339,3.2,-295.0,220.0,1.2299,6.87,9.64,-435.0,587.0,864.0,-1.75,1.8264,2.02,-121.0,102.0,2.5,1.7752,2.01,-129.0,101.0,0.5,1.6369,2.17,-157.0,117.0,1635196901.0
20260912_Freiburg_BorussiaM.Gladbach,1.6369,2.28,1.6369,2.28,-157.0,128.0,1.9091,3.83,3.74,-110.0,283.0,274.0,-0.75,2.17,1.7194,117.0,-139.0,1.5,1.7519,2.06,-133.0,106.0,1.5,2.72,1.4505,172.0,-222.0,1635196902.0
20260912_Hoffenheim_VfBStuttgart,1.4566,2.72,1.4566,2.72,-219.0,172.0,2.4,3.9,2.66,140.0,290.0,166.0,0.0,1.8264,2.03,-121.0,103.0,2.5,3.54,1.2786,254.0,-359.0,2.5,3.84,1.2315,284.0,-432.0,1635196900.0
20260912_Mainz05_EintrachtFrankfurt,1.5988,2.36,1.5988,2.36,-167.0,136.0,2.11,3.75,3.23,111.0,275.0,223.0,-0.25,1.8475,2.01,-118.0,101.0,2.5,3.54,1.2786,254.0,-359.0,1.5,2.39,1.5682,139.0,-176.0,1635197878.0
20260912_FCCologne_WerderBremen,1.625,2.3,1.625,2.3,-160.0,130.0,2.04,3.73,3.4,104.0,273.0,240.0,-0.5,2.05,1.813,105.0,-123.0,2.5,3.54,1.2778,254.0,-360.0,1.5,2.5,1.5208,150.0,-192.0,1635193855.0
20260913_RBLeipzig_HamburgerSV,1.4237,2.84,1.4237,2.84,-236.0,184.0,1.339,5.6,7.59,-295.0,460.0,659.0,-1.25,1.7143,2.18,-140.0,118.0,2.5,2.06,1.7519,106.0,-133.0,0.5,1.5495,2.38,-182.0,138.0,1635197880.0
