match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260828_Wrexham_Birmingham,2.01,1.8333,2.01,1.8333,101,-120,2.47,3.25,2.97,147,225,197,0.0,1.7634,2.12,-131,112,1.5,2.43,1.5618,143,-178,1.5,2.73,1.4386,173,-228,1634229363
20260829_Derby_Swansea,2.1,1.7463,2.1,1.7463,110,-134,2.31,3.36,3.14,131,236,214,0.0,1.6579,2.27,-152,127,1.5,2.41,1.5682,141,-176,0.5,1.4082,2.92,-245,192,1634243778
20260829_Middlesbrough_WestBrom,1.8403,2.0,1.8403,2.0,-119,100,1.7246,3.93,4.56,-138,293,356,-0.5,1.7246,2.16,-138,116,1.5,1.7937,2.02,-126,102,0.5,1.5208,2.54,-192,154,1634243896
20260829_Wolves_Stoke,1.7407,2.11,1.7407,2.11,-135,111,1.4926,4.45,6.17,-203,345,517,-1.0,1.8475,2.01,-118,101,1.5,1.5848,2.38,-171,138,0.5,1.641,2.25,-156,125,1634269123
20260829_Blackburn_QPR,2.05,1.8,2.05,1.8,105,-125,2.29,3.41,3.13,129,241,213,0.0,1.6579,2.28,-152,128,1.5,2.35,1.5952,135,-168,1.5,2.97,1.3968,197,-252,1634243776
20260829_Bolton_Lincoln,2.04,1.813,2.04,1.813,104,-123,2.45,3.33,2.92,145,233,192,0.0,1.7692,2.11,-130,111,1.5,2.41,1.5682,141,-176,1.5,2.77,1.4464,177,-224,1634585171
20260829_BristolCity_Portsmouth,2.09,1.7576,2.09,1.7576,109,-132,2.16,3.47,3.33,116,247,233,-0.5,2.16,1.7194,116,-139,1.5,2.3,1.6173,130,-162,0.5,1.4386,2.8,-228,180,1634243777
20260829_Cardiff_SheffieldUnited,1.7143,2.15,1.7143,2.15,-140,115,2.57,3.58,2.63,157,258,163,-0.25,2.23,1.6803,123,-147,1.5,2.21,1.6667,121,-150,1.5,2.24,1.6494,124,-154,1634229360
20260829_Charlton_Preston,2.16,1.7092,2.16,1.7092,116,-141,2.19,3.32,3.42,119,232,242,-0.5,2.19,1.7042,119,-142,1.5,2.38,1.5814,138,-172,0.5,1.4505,2.75,-222,175,1634243897
20260829_Norwich_Burnley,1.8,2.03,1.8,2.03,-125,103,2.33,3.58,2.93,133,258,193,-0.25,2.03,1.8264,103,-121,1.5,2.15,1.6993,115,-143,1.5,2.53,1.5025,153,-199,1634229362
20260829_Southampton_Millwall,1.8197,2.03,1.8197,2.03,-122,103,1.8621,3.68,4.1,-116,268,310,-0.75,2.13,1.7407,113,-135,2.5,3.71,1.2577,271,-388,0.5,1.4292,2.84,-233,184,1634229361
20260829_Watford_WestHam,1.6452,2.28,1.6452,2.28,-155,128,3.94,3.88,1.8475,294,288,-118,0.5,2.0,1.8547,100,-117,1.5,2.82,1.4348,182,-230,1.5,1.7194,2.09,-139,109,1634243964
