match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260824_Osasuna_Levante,2.18,1.7463,2.18,1.7463,118.0,-134.0,1.9091,3.5,4.53,-110.0,250.0,353.0,-0.5,1.9174,2.0,-109.0,100.0,1.5,2.11,1.7692,111.0,-130.0,0.5,1.5952,2.43,-168.0,143.0,1633731178.0
20260824_Malaga_DeportivoLaCoruna,2.28,1.6803,2.28,1.6803,128.0,-147.0,2.41,3.08,3.48,141.0,208.0,248.0,-0.25,2.04,1.8929,104.0,-112.0,1.5,2.55,1.5464,155.0,-183.0,0.5,1.4484,2.87,-223.0,187.0,1633731080.0
20260825_Valencia_RealBetis,2.03,1.8696,2.03,1.8696,103.0,-115.0,2.83,3.32,2.65,183.0,232.0,165.0,0.0,2.02,1.8929,102.0,-112.0,1.5,2.65,1.5,165.0,-200.0,1.5,2.53,1.5435,153.0,-184.0,1632362568.0
20260826_RealMadrid_RealSociedad,1.4545,2.83,1.4545,2.83,-220.0,183.0,1.3509,5.72,8.11,-285.0,472.0,711.0,-1.25,1.7407,2.18,-135.0,118.0,2.5,2.12,1.7463,112.0,-134.0,0.5,1.5848,2.43,-171.0,143.0,1632358405.0
20260827_CeltaVigo_Osasuna,2.19,1.7353,2.19,1.7353,119.0,-136.0,2.0,3.59,3.92,-100.0,259.0,292.0,-0.5,2.0,1.9009,100.0,-111.0,1.5,2.21,1.6897,121.0,-145.0,0.5,1.5464,2.52,-183.0,152.0,1634052484.0
20260827_Barcelona_AthleticClub,1.463,2.8,1.463,2.8,-216.0,180.0,1.3344,5.83,8.52,-299.0,483.0,752.0,-1.25,1.7143,2.23,-140.0,123.0,2.5,2.11,1.7576,111.0,-132.0,0.5,1.6289,2.33,-159.0,133.0,1632362569.0
20260828_RacingSantander_Elche,1.8264,2.06,1.8264,2.06,-121.0,106.0,2.17,3.58,3.39,117.0,258.0,239.0,-0.25,1.8929,2.02,-112.0,102.0,1.5,2.06,1.7937,106.0,-126.0,1.5,2.7,1.4854,170.0,-206.0,1634444745.0
20260828_Alaves_Villarreal,1.8403,2.06,1.8403,2.06,-119.0,106.0,3.1,3.66,2.29,210.0,266.0,129.0,0.5,1.6897,2.29,-145.0,129.0,1.5,2.65,1.5,165.0,-200.0,1.5,2.2,1.6944,120.0,-144.0,1634444746.0
20260829_Levante_RealBetis,2.01,1.885,2.01,1.885,101.0,-113.0,3.29,3.45,2.27,229.0,245.0,127.0,0.5,1.6944,2.27,-144.0,127.0,1.5,2.97,1.4167,197.0,-240.0,1.5,2.27,1.6579,127.0,-152.0,1634425792.0
20260829_RealSociedad_Espanyol,1.8621,2.03,1.8621,2.03,-116.0,103.0,1.8929,3.77,4.16,-112.0,277.0,316.0,-0.5,1.9009,2.01,-111.0,101.0,2.5,3.83,1.266,283.0,-376.0,0.5,1.4545,2.81,-220.0,181.0,1634425793.0
20260829_Sevilla_AtleticoMadrid,1.9615,1.9259,1.9615,1.9259,-104.0,-108.0,3.71,3.57,2.06,271.0,257.0,106.0,0.5,1.8475,2.07,-118.0,107.0,0.5,1.4545,2.81,-220.0,181.0,1.5,2.09,1.7692,109.0,-130.0,1634444747.0
20260830_RealMadrid_Malaga,1.3584,3.16,1.3584,3.16,-279.0,216.0,1.1684,9.02,13.35,-594.0,802.0,1235.0,-2.25,2.04,1.8621,104.0,-116.0,2.5,1.6993,2.17,-143.0,117.0,0.5,1.9709,1.8547,-103.0,-117.0,1634425794.0
20260830_DeportivoLaCoruna_Valencia,2.35,1.6329,2.35,1.6329,135.0,-158.0,2.62,3.07,3.02,162.0,207.0,202.0,0.0,1.813,2.1,-123.0,110.0,1.5,2.82,1.4425,182.0,-226.0,0.5,1.4,2.92,-250.0,192.0,1634425795.0
20260830_CeltaVigo_AthleticClub,2.09,1.7874,2.09,1.7874,109.0,-127.0,2.43,3.3,3.1,143.0,230.0,210.0,-0.25,2.09,1.8197,109.0,-122.0,1.5,2.45,1.5618,145.0,-178.0,1.5,2.79,1.4132,179.0,-242.0,1634440428.0
20260831_Osasuna_Getafe,2.59,1.5263,2.59,1.5263,159.0,-190.0,2.12,3.26,3.83,112.0,226.0,283.0,-0.25,1.8197,2.09,-122.0,109.0,1.5,2.6,1.5076,160.0,-197.0,0.5,1.6211,2.28,-161.0,128.0,1634440429.0
20260831_Barcelona_RayoVallecano,1.4032,2.9,1.4032,2.9,-248.0,190.0,1.2288,6.78,11.3,-437.0,578.0,1030.0,-2.0,2.05,1.8333,105.0,-120.0,3.5,3.17,1.3425,217.0,-292.0,0.5,1.8264,1.9804,-121.0,-102.0,1634444748.0
