match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260903_Toulouse_Lille,2.09,1.8197,2.09,1.8197,109.0,-122.0,3.52,3.42,2.19,252.0,242.0,119.0,0.25,2.02,1.8929,102.0,-112.0,0.5,1.4425,2.86,-226.0,186.0,1.5,2.26,1.6667,126.0,-150.0,1634388919.0
20260904_Lyon_Auxerre,1.7353,2.17,1.7353,2.17,-136.0,117.0,1.5405,4.47,6.09,-185.0,347.0,509.0,-1.0,1.9009,2.0,-111.0,100.0,1.5,1.5714,2.46,-175.0,146.0,0.5,1.6173,2.35,-162.0,135.0,1634471595.0
20260904_ParisSaint-Germain_Monaco,1.4484,2.8,1.4484,2.8,-223.0,180.0,1.4367,5.21,6.66,-229.0,421.0,566.0,-1.5,2.14,1.7752,114.0,-129.0,2.5,2.23,1.6803,123.0,-147.0,0.5,1.5,2.66,-200.0,166.0,1634462590.0
20260905_Lens_Lorient,1.6536,2.32,1.6536,2.32,-153.0,132.0,1.4739,4.79,6.62,-211.0,379.0,562.0,-1.25,2.05,1.8621,105.0,-116.0,1.5,1.5128,2.61,-195.0,161.0,0.5,1.565,2.34,-177.0,134.0,1635113826.0
20260905_LeHavre_Brest,2.17,1.7463,2.17,1.7463,117.0,-134.0,2.68,3.33,2.78,168.0,233.0,178.0,-0.25,2.3,1.6849,130.0,-146.0,1.5,2.73,1.4762,173.0,-210.0,1.5,2.8,1.4566,180.0,-219.0,1635126714.0
20260905_Nice_LeMans,1.9091,1.9804,1.9091,1.9804,-110.0,-102.0,1.7692,3.87,4.69,-130.0,287.0,369.0,-0.75,2.01,1.9009,101.0,-111.0,2.5,3.71,1.2786,271.0,-359.0,0.5,1.5319,2.56,-188.0,156.0,1635126713.0
20260906_Troyes_Strasbourg,1.9174,1.9615,1.9174,1.9615,-109.0,-104.0,3.3,3.46,2.27,230.0,246.0,127.0,0.5,1.6993,2.27,-143.0,127.0,1.5,2.83,1.4505,183.0,-222.0,1.5,2.17,1.7042,117.0,-142.0,1635193831.0
20260906_Angers_Rennes,1.7407,2.16,1.7407,2.16,-135.0,116.0,3.87,3.93,1.8929,287.0,293.0,-112.0,0.75,1.7519,2.16,-133.0,116.0,1.5,2.98,1.4049,198.0,-247.0,2.5,3.61,1.2833,261.0,-353.0,1635183231.0
20260906_Marseille_ParisFC,1.6623,2.28,1.6623,2.28,-151.0,128.0,1.7752,4.02,4.37,-129.0,302.0,337.0,-0.5,1.7692,2.12,-130.0,112.0,1.5,1.6849,2.2,-146.0,120.0,0.5,1.4149,2.93,-241.0,193.0,1635196876.0
20260911_Rennes_Marseille,1.5464,2.48,1.5464,2.48,-183.0,148.0,2.32,4.0,2.71,132.0,300.0,171.0,-0.25,2.06,1.813,106.0,-123.0,2.5,3.82,1.2463,282.0,-406.0,1.5,2.1,1.7194,110.0,-139.0,1635196877.0
20260912_Strasbourg_Monaco,1.6329,2.29,1.6329,2.29,-158.0,129.0,3.14,3.67,2.18,214.0,267.0,118.0,0.5,1.7143,2.18,-140.0,118.0,1.5,2.29,1.6098,129.0,-164.0,2.5,3.83,1.232,283.0,-431.0,1635197881.0
20260912_Auxerre_Nice,2.1,1.7519,2.1,1.7519,110.0,-133.0,2.49,3.21,2.97,149.0,221.0,197.0,0.0,1.7692,2.12,-130.0,112.0,1.5,2.52,1.5155,152.0,-194.0,1.5,2.84,1.4,184.0,-250.0,1635197901.0
20260912_LeHavre_Angers,2.21,1.6803,2.21,1.6803,121.0,-147.0,2.2,3.26,3.45,120.0,226.0,245.0,-0.5,2.2,1.6944,120.0,-144.0,1.5,2.4,1.5618,140.0,-178.0,0.5,1.4505,2.66,-222.0,166.0,1635193836.0
20260912_Lorient_Toulouse,2.07,1.7692,2.07,1.7692,107.0,-130.0,2.56,3.2,2.89,156.0,220.0,189.0,0.0,1.813,2.05,-123.0,105.0,1.5,2.47,1.5319,147.0,-188.0,1.5,2.75,1.4237,175.0,-236.0,1635183224.0
20260912_ParisFC_Lyon,1.6897,2.19,1.6897,2.19,-145.0,119.0,2.69,3.67,2.47,169.0,267.0,147.0,0.0,2.01,1.8475,101.0,-118.0,1.5,2.25,1.6329,125.0,-158.0,1.5,2.11,1.6897,111.0,-145.0,1635196880.0
20260913_Lille_Troyes,1.7874,2.05,1.7874,2.05,-127.0,105.0,1.3788,4.89,7.86,-264.0,389.0,686.0,-1.5,2.17,1.7194,117.0,-139.0,1.5,1.5208,2.5,-192.0,150.0,0.5,1.8475,1.9091,-118.0,-110.0,1635193851.0
20260913_LeMans_Lens,1.6667,2.24,1.6667,2.24,-150.0,124.0,5.16,4.23,1.5988,416.0,323.0,-167.0,1.0,1.8333,2.03,-120.0,103.0,0.5,1.4926,2.58,-203.0,158.0,1.5,1.5848,2.3,-171.0,130.0,1635197920.0
