match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260829_Fiorentina_Frosinone,1.7812,2.13,1.7812,2.13,-128.0,113.0,1.6993,4.03,5.08,-143.0,303.0,408.0,-0.75,1.9009,2.02,-111.0,102.0,1.5,1.7042,2.17,-142.0,117.0,0.5,1.5102,2.59,-196.0,159.0,1634444743.0
20260829_Monza_Udinese,2.44,1.6024,2.44,1.6024,144.0,-166.0,3.12,3.12,2.59,212.0,212.0,159.0,0.0,2.17,1.7937,117.0,-126.0,0.5,1.4566,2.84,-219.0,184.0,1.5,2.88,1.4464,188.0,-224.0,1634425790.0
20260829_Sassuolo_Torino,2.1,1.8065,2.1,1.8065,110.0,-124.0,2.35,3.26,3.37,135.0,226.0,237.0,-0.25,2.01,1.9091,101.0,-110.0,1.5,2.37,1.6211,137.0,-161.0,0.5,1.4082,3.05,-245.0,205.0,1634440424.0
20260829_Juventus_Parma,1.7812,2.1,1.7812,2.1,-128.0,110.0,1.2336,6.27,14.96,-428.0,527.0,1396.0,-1.5,1.7519,2.17,-133.0,117.0,2.5,2.32,1.6211,132.0,-161.0,0.5,2.42,1.578,142.0,-173.0,1634444744.0
20260830_Napoli_Como,2.47,1.5848,2.47,1.5848,147.0,-171.0,2.63,2.97,3.17,163.0,197.0,217.0,0.0,1.7812,2.16,-128.0,116.0,1.5,2.88,1.4367,188.0,-229.0,0.5,1.4525,2.82,-221.0,182.0,1634440425.0
20260830_Cagliari_Inter,1.9174,1.9709,1.9174,1.9709,-109.0,-103.0,7.94,4.64,1.4348,694.0,364.0,-230.0,1.25,1.9091,2.0,-110.0,100.0,0.5,1.9091,1.9259,-110.0,-108.0,1.5,1.6061,2.38,-165.0,138.0,1634440422.0
20260830_Lazio_Genoa,2.45,1.5952,2.45,1.5952,145.0,-168.0,2.11,3.09,4.21,111.0,209.0,321.0,-0.5,2.12,1.8065,112.0,-124.0,1.5,2.41,1.5917,141.0,-169.0,0.5,1.6098,2.37,-164.0,137.0,1634444741.0
20260831_Lecce_Roma,2.05,1.8475,2.05,1.8475,105.0,-118.0,7.69,4.36,1.4739,669.0,336.0,-211.0,1.0,2.12,1.813,112.0,-123.0,0.5,1.9174,1.9174,-109.0,-109.0,1.5,1.6944,2.21,-144.0,121.0,1634444742.0
20260831_Atalanta_Bologna,1.9524,1.9346,1.9524,1.9346,-105.0,-107.0,1.9259,3.66,4.13,-108.0,266.0,313.0,-0.75,2.21,1.7299,121.0,-137.0,2.5,4.04,1.2445,304.0,-409.0,0.5,1.4926,2.68,-203.0,168.0,1634425789.0
20260904_Genoa_Como,2.34,1.6098,2.34,1.6098,134.0,-164.0,5.49,3.17,1.8,449.0,217.0,-125.0,0.5,2.06,1.8065,106.0,-124.0,0.5,1.7299,2.09,-137.0,109.0,1.5,2.09,1.7246,109.0,-138.0,1634694626.0
20260905_Fiorentina_Torino,2.2,1.6849,2.2,1.6849,120.0,-146.0,1.8547,3.18,5.03,-117.0,218.0,403.0,-0.75,2.13,1.7463,113.0,-134.0,1.5,2.05,1.7519,105.0,-133.0,0.5,1.6211,2.27,-161.0,127.0,1634697934.0
20260905_Inter_Napoli,2.08,1.7692,2.08,1.7692,108.0,-130.0,1.7634,3.63,4.75,-131.0,263.0,375.0,-0.75,2.01,1.8475,101.0,-118.0,2.5,4.07,1.2227,307.0,-449.0,0.5,1.6061,2.3,-165.0,130.0,1634697936.0
20260905_Roma_Atalanta,2.01,1.8333,2.01,1.8333,101.0,-120.0,1.8929,3.56,4.09,-112.0,256.0,309.0,-0.75,2.19,1.7042,119.0,-142.0,2.5,4.07,1.2227,307.0,-449.0,0.5,1.4926,2.58,-203.0,158.0,1634698041.0
20260906_Frosinone_Venezia,1.9804,1.8621,1.9804,1.8621,-102.0,-116.0,2.82,3.28,2.56,182.0,228.0,156.0,0.0,2.03,1.8333,103.0,-120.0,1.5,2.62,1.4808,162.0,-208.0,1.5,2.38,1.5682,138.0,-176.0,1634698039.0
20260906_Parma_Monza,2.32,1.625,2.32,1.625,132.0,-160.0,2.01,3.3,3.98,101.0,230.0,298.0,-0.5,2.02,1.8403,102.0,-119.0,1.5,2.3,1.6061,130.0,-165.0,0.5,1.5618,2.35,-178.0,135.0,1634698040.0
20260906_Bologna_Sassuolo,2.05,1.8065,2.05,1.8065,105.0,-124.0,1.9434,3.49,4.0,-106.0,249.0,300.0,-0.25,1.6757,2.24,-148.0,124.0,1.5,2.06,1.7463,106.0,-134.0,0.5,1.4926,2.58,-203.0,158.0,1634697939.0
20260906_Juventus_ACMilan,2.09,1.7576,2.09,1.7576,109.0,-132.0,2.04,3.43,3.72,104.0,243.0,272.0,-0.5,2.05,1.813,105.0,-123.0,1.5,2.19,1.6667,119.0,-150.0,0.5,1.4717,2.65,-212.0,165.0,1634697940.0
20260907_Cagliari_Lecce,2.67,1.4808,2.67,1.4808,167.0,-208.0,2.22,3.04,3.68,122.0,204.0,268.0,-0.5,2.22,1.6849,122.0,-146.0,1.5,2.75,1.4425,175.0,-226.0,0.5,1.5882,2.29,-170.0,129.0,1634698042.0
20260907_Udinese_Lazio,2.45,1.5587,2.45,1.5587,145.0,-179.0,2.79,3.1,2.71,179.0,210.0,171.0,0.25,1.641,2.3,-156.0,130.0,0.5,1.4115,2.87,-243.0,187.0,0.5,1.3984,2.93,-251.0,193.0,1634709922.0
