observed_at,scan_stamp,play_id,tier,match_id,system_id,system,league,market,side,home_team,away_team,match_date,kickoff_utc,hours_to_kick,pin_odds,edge_vs_pin,model_prob,fair_odds,recommendation
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_unders|20260905_ManchesterCity_Coventry|under|OU Under,PLAY,20260905_ManchesterCity_Coventry,EPL_unders,EPL Unders,EPL,OU Under,under,Manchester City,Coventry,2026-09-05,2026-09-05T14:00:00+00:00,94.38,3.23,0.2769047168898086,0.5543339346825308,1.8039667742381744,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_unders|20260913_Coventry_Brighton|under|OU Under,PLAY,20260913_Coventry_Brighton,EPL_unders,EPL Unders,EPL,OU Under,under,Coventry,Brighton,2026-09-13,2026-09-13T13:00:00+00:00,285.38,2.06,0.2135401187596238,0.6746811100294442,1.4821817079721682,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_overs_short|20260906_Arsenal_Chelsea|over|OU Over,PLAY,20260906_Arsenal_Chelsea,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Arsenal,Chelsea,2026-09-06,2026-09-06T15:30:00+00:00,119.88,1.8,0.1020197460872397,0.6377713946613032,1.5679599435955622,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_overs_short|20260912_CrystalPalace_Ipswich|over|OU Over,PLAY,20260912_CrystalPalace_Ipswich,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Crystal Palace,Ipswich,2026-09-12,2026-09-12T14:00:00+00:00,262.38,1.9804,0.2214593905170058,0.7039826308728709,1.4204895918527078,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,Bundesliga_unders|20260905_Paderborn_Freiburg|under|OU Under,PLAY,20260905_Paderborn_Freiburg,Bundesliga_unders,Bundesliga Unders,Bundesliga,OU Under,under,Paderborn,Freiburg,2026-09-05,2026-09-05T13:30:00+00:00,93.88,2.26,0.2288680524088139,0.6538704754762289,1.5293548760886886,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,LaLiga_home_ml|20260905_Villarreal_DeportivoLaCoruna|H|1X2 Home,PLAY,20260905_Villarreal_DeportivoLaCoruna,LaLiga_home_ml,La Liga Home ML,LaLiga,1X2 Home,H,Villarreal,Deportivo La Coruna,2026-09-05,2026-09-05T19:00:00+00:00,99.38,1.5236,0.1740196120768222,0.830359858860755,1.2042971361500898,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,SerieA_away_ml|20260912_Sassuolo_Juventus|A|1X2 Away,PLAY,20260912_Sassuolo_Juventus,SerieA_away_ml,Serie A Away ML,SerieA,1X2 Away,A,Sassuolo,Juventus,2026-09-12,2026-09-12T16:00:00+00:00,264.38,1.5988,0.0625699557596077,0.6880390575859776,1.4534058626098267,PLAY
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_overs_short|20260904_Ipswich_Liverpool|over|OU Over,WATCH,20260904_Ipswich_Liverpool,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Ipswich,Liverpool,2026-09-04,2026-09-04T19:00:00+00:00,75.38,1.5348,0.1360446185075754,0.7718510531050197,1.2955867533990886,WATCH
2026-08-31T14:41:14+00:00,20260831T144114Z,EPL_overs_short|20260912_Bournemouth_Brentford|over|OU Over,WATCH,20260912_Bournemouth_Brentford,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Bournemouth,Brentford,2026-09-12,2026-09-12T14:00:00+00:00,262.38,1.6623,0.0889376210932584,0.669271195412506,1.4941626157743857,WATCH
2026-08-31T14:41:14+00:00,20260831T144114Z,LaLiga_home_ml|20260913_CeltaVigo_Malaga|H|1X2 Home,WATCH,20260913_CeltaVigo_Malaga,LaLiga_home_ml,La Liga Home ML,LaLiga,1X2 Home,H,Celta Vigo,Malaga,2026-09-13,2026-09-13T15:00:00+00:00,287.38,1.7634,0.0773285358492152,0.6444148463856789,1.5517954088250556,WATCH
2026-08-31T14:41:14+00:00,20260831T144114Z,SerieA_away_ml|20260831_Lecce_Roma|A|1X2 Away,WATCH,20260831_Lecce_Roma,SerieA_away_ml,Serie A Away ML,SerieA,1X2 Away,A,Lecce,Roma,2026-08-31,,,1.4762,0.0217409358190363,0.6991559202384917,1.430296120011236,WATCH
