play_id,match_id,system_id,system,league,market,side,home_team,away_team,match_date,kickoff_utc,first_seen_at,first_tier,first_pin_odds,first_edge,entry_pin_odds,entry_at,last_seen_at,last_pin_odds,last_edge,close_pin_odds,close_observed_at,n_observations,clv_first_pct,clv_entry_pct,clv_last_pct,steam_vs_first,status,timing_note
EPL_unders|20260905_ManchesterCity_Coventry|under|OU Under,20260905_ManchesterCity_Coventry,EPL_unders,EPL Unders,EPL,OU Under,under,Manchester City,Coventry,2026-09-05,2026-09-05T14:00:00+00:00,2026-08-31T14:41:14+00:00,PLAY,3.23,0.2769047168898086,3.24,2026-08-24T15:48:36.12027,2026-09-01T14:49:12+00:00,3.22,0.2741611117277169,,,2,,,0.31,flat,tracking,flat market — early vs close similar
EPL_unders|20260913_Coventry_Brighton|under|OU Under,20260913_Coventry_Brighton,EPL_unders,EPL Unders,EPL,OU Under,under,Coventry,Brighton,2026-09-13,2026-09-13T13:00:00+00:00,2026-08-31T14:41:14+00:00,PLAY,2.06,0.2135401187596238,2.06,2026-08-31T14:41:14.86265,2026-09-01T14:49:12+00:00,2.06,0.211503780057221,,,2,,,0.0,flat,tracking,flat market — early vs close similar
EPL_overs_short|20260906_Arsenal_Chelsea|over|OU Over,20260906_Arsenal_Chelsea,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Arsenal,Chelsea,2026-09-06,2026-09-06T15:30:00+00:00,2026-08-31T14:41:14+00:00,PLAY,1.8,0.1020197460872397,1.8621,2026-08-29T13:46:47.90768,2026-09-01T14:49:12+00:00,1.8197,0.0876264908917947,,,2,,,-1.08,against_us,tracking,flat market — early vs close similar
EPL_overs_short|20260912_CrystalPalace_Ipswich|over|OU Over,20260912_CrystalPalace_Ipswich,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Crystal Palace,Ipswich,2026-09-12,2026-09-12T14:00:00+00:00,2026-08-31T14:41:14+00:00,PLAY,1.9804,0.2214593905170058,1.9804,2026-08-31T14:41:14.86273,2026-09-01T14:49:12+00:00,1.9009,0.1989428503819892,,,2,,,4.18,toward_us,tracking,early entry rewarded — line steamed toward us by close
Bundesliga_unders|20260905_Paderborn_Freiburg|under|OU Under,20260905_Paderborn_Freiburg,Bundesliga_unders,Bundesliga Unders,Bundesliga,OU Under,under,Paderborn,Freiburg,2026-09-05,2026-09-05T13:30:00+00:00,2026-08-31T14:41:14+00:00,PLAY,2.26,0.2288680524088139,2.26,2026-08-31T14:41:14.86277,2026-09-01T14:49:12+00:00,2.27,0.2316015166468272,,,2,,,-0.44,flat,tracking,flat market — early vs close similar
LaLiga_home_ml|20260905_Villarreal_DeportivoLaCoruna|H|1X2 Home,20260905_Villarreal_DeportivoLaCoruna,LaLiga_home_ml,La Liga Home ML,LaLiga,1X2 Home,H,Villarreal,Deportivo La Coruna,2026-09-05,2026-09-05T19:00:00+00:00,2026-08-31T14:41:14+00:00,PLAY,1.5236,0.1740196120768222,1.5236,2026-08-31T14:41:14.86280,2026-09-01T14:49:12+00:00,1.495,0.1592170250652314,,,2,,,1.91,toward_us,tracking,flat market — early vs close similar
SerieA_away_ml|20260912_Sassuolo_Juventus|A|1X2 Away,20260912_Sassuolo_Juventus,SerieA_away_ml,Serie A Away ML,SerieA,1X2 Away,A,Sassuolo,Juventus,2026-09-12,2026-09-12T16:00:00+00:00,2026-08-31T14:41:14+00:00,PLAY,1.5988,0.0625699557596077,1.5988,2026-08-31T14:41:14.86284,2026-09-01T14:49:12+00:00,1.5988,0.0645729814024798,,,2,,,0.0,flat,tracking,flat market — early vs close similar
EPL_overs_short|20260904_Ipswich_Liverpool|over|OU Over,20260904_Ipswich_Liverpool,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Ipswich,Liverpool,2026-09-04,2026-09-04T19:00:00+00:00,2026-08-31T14:41:14+00:00,WATCH,1.5348,0.1360446185075754,,,2026-08-31T14:41:14+00:00,1.5348,0.1360446185075754,,,1,,,0.0,flat,tracking,flat market — early vs close similar
EPL_overs_short|20260912_Bournemouth_Brentford|over|OU Over,20260912_Bournemouth_Brentford,EPL_overs_short,EPL short Overs,EPL,OU Over,over,Bournemouth,Brentford,2026-09-12,2026-09-12T14:00:00+00:00,2026-08-31T14:41:14+00:00,WATCH,1.6623,0.0889376210932584,,,2026-09-01T14:49:12+00:00,1.6623,0.089096804523625,,,2,,,0.0,flat,tracking,flat market — early vs close similar
LaLiga_home_ml|20260913_CeltaVigo_Malaga|H|1X2 Home,20260913_CeltaVigo_Malaga,LaLiga_home_ml,La Liga Home ML,LaLiga,1X2 Home,H,Celta Vigo,Malaga,2026-09-13,2026-09-13T15:00:00+00:00,2026-08-31T14:41:14+00:00,WATCH,1.7634,0.0773285358492152,,,2026-09-01T14:49:12+00:00,1.7634,0.0761919735338776,,,2,,,0.0,flat,tracking,flat market — early vs close similar
