match_id,actual_home,actual_away,league,home_team,away_team,notes
20260815_Genk_Westerlo,3.0,2.0,Belgium,Genk,Westerlo,
20260815_Kortrijk_RoyalAntwerp,0.0,3.0,Belgium,Kortrijk,Royal Antwerp,
20260815_St.Gilloise_Waregem,0.0,0.0,Belgium,St. Gilloise,Waregem,
20260815_Bolton_Preston,2.0,1.0,Championship,Bolton,Preston,
20260815_BristolCity_Millwall,0.0,2.0,Championship,Bristol City,Millwall,
20260815_Charlton_Derby,2.0,1.0,Championship,Charlton,Derby,
20260815_Middlesbrough_Lincoln,2.0,1.0,Championship,Middlesbrough,Lincoln,
20260815_Norwich_WestBrom,1.0,2.0,Championship,Norwich,West Brom,
20260815_Portsmouth_QPR,1.0,3.0,Championship,Portsmouth,QPR,
20260815_SheffieldUnited_Birmingham,0.0,0.0,Championship,Sheffield United,Birmingham,
20260815_Stoke_Swansea,1.0,2.0,Championship,Stoke,Swansea,
20260815_Excelsior_PSVEindhoven,1.0,2.0,Eredivisie,Excelsior,PSV Eindhoven,
20260815_FortunaSittard_Cambuur,3.0,1.0,Eredivisie,Fortuna Sittard,Cambuur,
20260815_Utrecht_AZAlkmaar,1.0,4.0,Eredivisie,Utrecht,AZ Alkmaar,
20260815_AcademicoViseu_SantaClara,0.0,1.0,PrimeiraLiga,Academico Viseu,Santa Clara,
20260815_Gaziantep_Alanyaspor,1.0,1.0,Turkey,Gaziantep,Alanyaspor,
20260815_Genclerbirligi_Fenerbahce,2.0,1.0,Turkey,Genclerbirligi,Fenerbahce,
20260815_Kasimpasa_Trabzonspor,1.0,1.0,Turkey,Kasimpasa,Trabzonspor,
20260815_Konyaspor_Rizespor,0.0,1.0,Turkey,Konyaspor,Rizespor,
20260816_Beveren_Anderlecht,1.0,0.0,Belgium,Beveren,Anderlecht,
20260816_Lommel_Charleroi,0.0,1.0,Belgium,Lommel,Charleroi,
20260816_Mechelen_StandardLiege,3.0,3.0,Belgium,Mechelen,Standard Liege,
20260816_RAALLaLouviere_Gent,1.0,2.0,Belgium,RAAL La Louviere,Gent,
