play_id,recorded_at,tier,league,match_id,date,kickoff_local,match,side,team,tt_line,tt_lean,tt_proj,tt_p_over,tt_p_under,tt_pin_over,tt_pin_under,tt_edge_over_pp,tt_edge_under_pp,tt_lean_pp,tt_vs_pin,pin_odds,why,data_grade,stake_u,status,actual_home,actual_away,actual_team_goals,won,profit_u,settled_at,settle_note
20260822_NewYorkRedBulls_ChicagoFire|away|1.5|UNDER,2026-08-21T15:36:04.716644+00:00,TRACK,MLS,20260822_NewYorkRedBulls_ChicagoFire,2026-08-22,Sat 22 Aug 18:30,New York Red Bulls vs Chicago Fire,away,Chicago Fire,1.5,UNDER,1.4,0.4082,0.5918,1.741,2.11,-14.3,14.3,14.3,U+14.3pp,2.11,proj 1.4 goals · line 1.5 · model O/U 41/59% · U+14.3pp · high total · GF 1.4+1.8 · form 1.4/1.8 ppg · leaky def,C,1.0,open,,,,,,,
20260822_Wrexham_Watford|home|1.5|OVER,2026-08-21T15:36:04.716761+00:00,TRACK,Championship,20260822_Wrexham_Watford,2026-08-22,Sat 22 Aug 09:00,Wrexham vs Watford,home,Wrexham,1.5,OVER,2.08,0.6152,0.3848,2.01,1.833,14.0,-14.0,14.0,O+14.0pp,2.01,proj 2.08 goals · line 1.5 · model O/U 62/38% · O+14.0pp · high total · GF 1.2+0.2 · form 1.4/0.0 ppg · leaky def · weak O/U hist,C,1.0,open,,,,,,,
20260822_Derby_Cardiff|home|1.5|OVER,2026-08-21T15:36:04.716844+00:00,TRACK,Championship,20260822_Derby_Cardiff,2026-08-22,Sat 22 Aug 09:00,Derby vs Cardiff,home,Derby,1.5,OVER,2.01,0.5967,0.4033,2.07,1.781,13.7,-13.7,13.7,O+13.7pp,2.07,proj 2.01 goals · line 1.5 · model O/U 60/40% · O+13.7pp · GF 1.4+0.6 · form 1.2/0.4 ppg · leaky def · weak O/U hist,C,1.0,open,,,,,,,
20260822_FortunaSittard_AZAlkmaar|away|2.5|UNDER,2026-08-21T15:36:04.716914+00:00,TRACK,Eredivisie,20260822_FortunaSittard_AZAlkmaar,2026-08-22,Sat 22 Aug 09:30,Fortuna Sittard vs AZ Alkmaar,away,AZ Alkmaar,2.5,UNDER,1.64,0.227,0.773,2.57,1.518,-13.5,13.5,13.5,U+13.5pp,1.518,proj 1.64 goals · line 2.5 · model O/U 23/77% · U+13.5pp · GF 1.4+1.6 · form 0.8/1.4 ppg,B,1.0,open,,,,,,,
20260821_StandardLiege_RAALLaLouviere|home|1.5|UNDER,2026-08-21T15:36:04.716980+00:00,TRACK,Belgium,20260821_StandardLiege_RAALLaLouviere,2026-08-21,Fri 21 Aug 13:45,Standard Liege vs RAAL La Louviere,home,Standard Liege,1.5,UNDER,1.15,0.3192,0.6808,2.17,1.73,-12.1,12.1,12.1,U+12.1pp,1.73,proj 1.15 goals · line 1.5 · model O/U 32/68% · U+12.1pp · low total · score-adj -0.10 · GF 1.2+1.0 · form 1.6/0.6 ppg · weak O/U hist,B,1.0,open,,,,,,,
20260822_SportingLisbon_Alverca|home|3.5|OVER,2026-08-21T15:36:04.717045+00:00,TRACK,PrimeiraLiga,20260822_SportingLisbon_Alverca,2026-08-22,Sat 22 Aug 14:30,Sporting Lisbon vs Alverca,home,Sporting Lisbon,3.5,OVER,3.07,0.3684,0.6316,3.46,1.288,12.1,-12.1,12.1,O+12.1pp,3.46,proj 3.07 goals · line 3.5 · model O/U 37/63% · O+12.1pp · high total · GF 2.7+0.7 · Elo H+349 · form 2.2/0.8 ppg,B,1.0,open,,,,,,,
20260822_Hull_ManchesterUnited|home|0.5|UNDER,2026-08-21T15:36:04.717095+00:00,TRACK,EPL,20260822_Hull_ManchesterUnited,2026-08-22,Sat 22 Aug 06:30,Hull vs Manchester United,home,Hull,0.5,UNDER,0.54,0.4173,0.5827,1.8,2.05,-11.7,11.7,11.7,U+11.7pp,2.05,proj 0.54 goals · line 0.5 · model O/U 42/58% · U+11.7pp · xG 1.0+2.0 · Elo A-243 · form 0.8/2.6 ppg,A,1.0,settled,2.0,0.0,2.0,0.0,-1.0,2026-08-24T15:18:19.296411+00:00,lose
20260822_Fenerbahce_Konyaspor|away|0.5|OVER,2026-08-21T15:36:04.717134+00:00,TRACK,Turkey,20260822_Fenerbahce_Konyaspor,2026-08-22,Sat 22 Aug 13:30,Fenerbahce vs Konyaspor,away,Konyaspor,0.5,OVER,1.06,0.6535,0.3465,1.769,2.07,11.2,-11.2,11.2,O+11.2pp,1.769,proj 1.06 goals · line 0.5 · model O/U 65/35% · O+11.2pp · high total · GF 2.2+1.4 · form 1.6/1.2 ppg · leaky def,B,1.0,open,,,,,,,
20260822_Lincoln_Portsmouth|home|1.5|OVER,2026-08-21T15:36:04.717172+00:00,TRACK,Championship,20260822_Lincoln_Portsmouth,2026-08-22,Sat 22 Aug 06:30,Lincoln vs Portsmouth,home,Lincoln,1.5,OVER,1.69,0.5036,0.4964,2.4,1.595,11.1,-11.1,11.1,O+11.1pp,2.4,proj 1.69 goals · line 1.5 · model O/U 50/50% · O+11.1pp · GF —+1.6 · form —/2.0 ppg · weak O/U hist,C,1.0,open,,,,,,,
20260822_Heerenveen_PECZwolle|home|2.5|UNDER,2026-08-21T15:36:04.717209+00:00,TRACK,Eredivisie,20260822_Heerenveen_PECZwolle,2026-08-22,Sat 22 Aug 14:00,Heerenveen vs PEC Zwolle,home,Heerenveen,2.5,UNDER,1.8,0.2694,0.7306,2.46,1.562,-11.1,11.1,11.1,U+11.1pp,1.562,proj 1.8 goals · line 2.5 · model O/U 27/73% · U+11.1pp · GF 1.0+0.8 · form 2.0/0.6 ppg · leaky def,B,1.0,open,,,,,,,
